河北联通[A],#genre#
CCTV12,http://61.55.228.101:4022/udp/239.253.93.88:6254
CCTV13,http://61.55.228.101:4022/udp/239.253.92.13:8008
CCTV14,http://61.55.228.101:4022/udp/239.253.92.198:6063
CCTV14,http://61.55.228.101:4022/udp/239.253.93.89:6255
CCTV15,http://61.55.228.101:4022/udp/239.253.93.154:6322
CCTV16,http://61.55.228.101:4022/udp/239.253.94.35:6635
CCTV17,http://61.55.228.101:4022/udp/239.253.93.150:6318
CCTV5+,http://61.55.228.101:4022/udp/239.253.92.82:8013
CCTV4欧洲,http://61.55.228.101:4022/udp/239.253.93.192:6370
CCTV4美洲,http://61.55.228.101:4022/udp/239.253.93.193:6371
北京卫视,http://61.55.228.101:4022/udp/239.253.92.87:8014
天津卫视,http://61.55.228.101:4022/udp/239.253.92.91:8021
山西卫视,http://61.55.228.101:4022/udp/239.253.92.44:8046
内蒙古卫视,http://61.55.228.101:4022/udp/239.253.92.136:6008
内蒙古卫视,http://61.55.228.101:4022/udp/239.253.92.45:8047
辽宁卫视,http://61.55.228.101:4022/udp/239.253.92.115:6056
吉林卫视,http://61.55.228.101:4022/udp/239.253.92.202:6147
黑龙江卫视,http://61.55.228.101:4022/udp/239.253.92.85:8016
东方卫视,http://61.55.228.101:4022/udp/239.253.92.89:8019
江苏卫视,http://61.55.228.101:4022/udp/239.253.92.88:8018
浙江卫视,http://61.55.228.101:4022/udp/239.253.92.90:8020
安徽卫视,http://61.55.228.101:4022/udp/239.253.92.209:6566
安徽卫视,http://61.55.228.101:4022/udp/239.253.93.90:6256
东南卫视,http://61.55.228.101:4022/udp/239.253.92.201:6146
江西卫视,http://61.55.228.101:4022/udp/239.253.92.19:6145
山东卫视,http://61.55.228.101:4022/udp/239.253.92.207:8109
河南卫视,http://61.55.228.101:4022/udp/239.253.92.137:6144
湖北卫视,http://61.55.228.101:4022/udp/239.253.92.210:6567
湖北卫视,http://61.55.228.101:4022/udp/239.253.93.91:6257
湖南卫视,http://61.55.228.101:4022/udp/239.253.92.84:8015
广东卫视,http://61.55.228.101:4022/udp/239.253.92.206:8108
广西卫视,http://61.55.228.101:4022/udp/239.253.92.76:8043
海南卫视,http://61.55.228.101:4022/udp/239.253.93.155:6323
重庆卫视,http://61.55.228.101:4022/udp/239.253.92.10:6053
四川卫视,http://61.55.228.101:4022/udp/239.253.92.16:6043
贵州卫视,http://61.55.228.101:4022/udp/239.253.92.105:6055
云南卫视,http://61.55.228.101:4022/udp/239.253.92.28:8030
西藏卫视,http://61.55.228.101:4022/udp/239.253.94.57:6639
陕西卫视,http://61.55.228.101:4022/udp/239.253.92.135:6007
陕西卫视,http://61.55.228.101:4022/udp/239.253.92.36:8045
甘肃卫视,http://61.55.228.101:4022/udp/239.253.94.33:6633
青海卫视,http://61.55.228.101:4022/udp/239.253.92.133:6031
青海卫视,http://61.55.228.101:4022/udp/239.253.92.47:8048
宁夏卫视,http://61.55.228.101:4022/udp/239.253.94.60:6642
宁夏卫视,http://61.55.228.101:4022/udp/239.253.92.32:8050
新疆卫视,http://61.55.228.101:4022/udp/239.253.94.58:6640
兵团卫视,http://61.55.228.101:4022/udp/239.253.94.59:6641
